nuclear ncRNA surveillance (GO:0071029),19,8,1.31,+,6.11,3.56E-02
proteasome assembly (GO:0043248),32,13,2.21,+,5.9,1.30E-04
double-strand break repair via break-induced replication (GO:0000727),26,10,1.79,+,5.58,8.19E-03
RNA surveillance (GO:0071025),31,11,2.14,+,5.15,6.76E-03
"retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum (GO:0006890)",32,11,2.21,+,4.99,9.68E-03
ncRNA catabolic process (GO:0034661),42,14,2.89,+,4.84,7.41E-04
nuclear RNA surveillance (GO:0071027),30,10,2.07,+,4.84,3.61E-02
cytoplasmic translation (GO:0002181),149,49,10.27,+,4.77,1.26E-18
positive regulation of protein-containing complex assembly (GO:0031334),34,11,2.34,+,4.69,1.89E-02
ribosomal large subunit assembly (GO:0000027),44,14,3.03,+,4.62,1.42E-03
rRNA catabolic process (GO:0016075),38,12,2.62,+,4.58,9.83E-03
ribosome assembly (GO:0042255),80,23,5.51,+,4.17,3.31E-06
ribosomal subunit export from nucleus (GO:0000054),66,18,4.55,+,3.96,5.01E-04
ribosome localization (GO:0033750),67,18,4.62,+,3.9,6.43E-04
proteasome-mediated ubiquitin-dependent protein catabolic process (GO:0043161),112,30,7.72,+,3.89,7.05E-08
"maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000466)",89,23,6.13,+,3.75,3.19E-05
maturation of 5.8S rRNA (GO:0000460),89,23,6.13,+,3.75,3.19E-05
regulation of protein-containing complex assembly (GO:0043254),83,20,5.72,+,3.5,9.78E-04
protein-containing complex localization (GO:0031503),105,24,7.24,+,3.32,2.03E-04
establishment of organelle localization (GO:0051656),154,34,10.61,+,3.2,1.03E-06
"maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000462)",100,22,6.89,+,3.19,1.42E-03
maturation of SSU-rRNA (GO:0030490),114,25,7.86,+,3.18,2.59E-04
ribosomal small subunit biogenesis (GO:0042274),137,30,9.44,+,3.18,1.40E-05
non-membrane-bounded organelle assembly (GO:0140694),142,31,9.79,+,3.17,8.41E-06
modification-dependent macromolecule catabolic process (GO:0043632),198,43,13.64,+,3.15,7.71E-09
proteasomal protein catabolic process (GO:0010498),156,33,10.75,+,3.07,6.07E-06
endoplasmic reticulum to Golgi vesicle-mediated transport (GO:0006888),95,20,6.55,+,3.06,9.49E-03
translation (GO:0006412),355,72,24.46,+,2.94,6.03E-15
ribosome biogenesis (GO:0042254),385,78,26.53,+,2.94,1.78E-16
peptide biosynthetic process (GO:0043043),358,72,24.67,+,2.92,9.92E-15
modification-dependent protein catabolic process (GO:0019941),178,35,12.27,+,2.85,1.52E-05
organelle assembly (GO:0070925),175,34,12.06,+,2.82,3.47E-05
protein-RNA complex assembly (GO:0022618),163,31,11.23,+,2.76,2.57E-04
rRNA processing (GO:0006364),279,53,19.23,+,2.76,5.42E-09
peptide metabolic process (GO:0006518),392,74,27.01,+,2.74,1.34E-13
ubiquitin-dependent protein catabolic process (GO:0006511),172,32,11.85,+,2.7,2.73E-04
amide biosynthetic process (GO:0043604),400,74,27.56,+,2.68,4.37E-13
ribonucleoprotein complex biogenesis (GO:0022613),464,85,31.97,+,2.66,2.55E-15
protein-RNA complex organization (GO:0071826),171,31,11.78,+,2.63,7.93E-04
chromosome segregation (GO:0007059),149,27,10.27,+,2.63,4.64E-03
rRNA metabolic process (GO:0016072),335,59,23.08,+,2.56,7.77E-09
organelle localization (GO:0051640),235,41,16.19,+,2.53,2.92E-05
proteolysis involved in protein catabolic process (GO:0051603),232,39,15.99,+,2.44,2.77E-04
amide metabolic process (GO:0043603),463,76,31.91,+,2.38,2.11E-10
nuclear transport (GO:0051169),166,27,11.44,+,2.36,4.93E-02
nucleocytoplasmic transport (GO:0006913),166,27,11.44,+,2.36,4.93E-02
protein catabolic process (GO:0030163),255,40,17.57,+,2.28,1.21E-03
protein-containing complex assembly (GO:0065003),470,72,32.39,+,2.22,3.64E-08
mitotic cell cycle (GO:0000278),271,41,18.67,+,2.2,2.82E-03
mitotic cell cycle process (GO:1903047),259,37,17.85,+,2.07,2.66E-02
macromolecule catabolic process (GO:0009057),407,58,28.05,+,2.07,6.92E-05
ncRNA processing (GO:0034470),394,56,27.15,+,2.06,1.40E-04
cellular component biogenesis (GO:0044085),1024,140,70.56,+,1.98,1.32E-15
ncRNA metabolic process (GO:0034660),508,69,35.01,+,1.97,3.01E-05
proteolysis (GO:0006508),319,43,21.98,+,1.96,3.24E-02
cellular nitrogen compound biosynthetic process (GO:0044271),851,104,58.64,+,1.77,7.60E-07
cellular component assembly (GO:0022607),702,84,48.38,+,1.74,2.38E-04
RNA processing (GO:0006396),559,66,38.52,+,1.71,1.46E-02
protein-containing complex organization (GO:0043933),787,92,54.23,+,1.7,1.16E-04
gene expression (GO:0010467),1258,147,86.69,+,1.7,3.29E-10
protein metabolic process (GO:0019538),1149,133,79.18,+,1.68,3.35E-08
macromolecule biosynthetic process (GO:0009059),1476,155,101.71,+,1.52,5.86E-07
RNA metabolic process (GO:0016070),878,92,60.5,+,1.52,2.55E-02
nucleic acid metabolic process (GO:0090304),1209,120,83.31,+,1.44,8.66E-03
macromolecule metabolic process (GO:0043170),2243,219,154.57,+,1.42,1.11E-09
cellular nitrogen compound metabolic process (GO:0034641),1759,170,121.21,+,1.4,4.51E-05
cellular component organization or biogenesis (GO:0071840),2064,194,142.23,+,1.36,1.55E-05
nitrogen compound metabolic process (GO:0006807),2659,227,183.23,+,1.24,1.93E-03
small molecule metabolic process (GO:0044281),645,17,44.45,-,0.38,1.30E-03
phosphate-containing compound metabolic process (GO:0006796),543,12,37.42,-,0.32,7.23E-04
phosphorus metabolic process (GO:0006793),559,12,38.52,-,0.31,3.61E-04
